SYMBOL_CODE,SYMBOL_NAME,MARKET_TYPE,ASSETS_TYPE,PUBLIC_DATE,INDUSTRY
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode
080776　臺股指元大3A購23,TW24Z0807766,2024/02/23,上市,,RWICCE
080777　臺股指元大3A購24,TW24Z0807774,2024/02/23,上市,,RWICCE
080778　台灣50元富38購02,TW24Z0807782,2024/02/23,上市,,RWBCCA
080779　滬深2X元富3B購01,TW24Z0807790,2024/02/23,上市,,RWBCCA
08077T　力成群益3C售02,TW24Z08077T9,2024/04/29,上市,,RWSCPE
080780　元債2X元富48購01,TW24Z0807808,2024/02/23,上市,,RWBCCA
080781　美債2X元富42購02,TW24Z0807816,2024/02/23,上市,,RWBCCA
080782　美債2X元富43購01,TW24Z0807824,2024/02/23,上市,,RWBCCA
080783　士電元富38購02,TW24Z0807832,2024/02/23,上市,,RWSCCA
080784　中砂元富38購01,TW24Z0807840,2024/02/23,上市,,RWSCCA
080785　上銀元富38購01,TW24Z0807857,2024/02/23,上市,,RWSCCA
080786　川湖元富3B購03,TW24Z0807865,2024/02/23,上市,,RWSCCA
080787　川湖元富3B購04,TW24Z0807873,2024/02/23,上市,,RWSCCA
080788　華泰元富38購03,TW24Z0807881,2024/02/23,上市,,RWSCCA
080789　華泰元富39購03,TW24Z0807899,2024/02/23,上市,,RWSCCA
08078T　群光元大3A售06,TW24Z08078T7,2024/04/29,上市,,RWSCPE
080790　華泰元富42購01,TW24Z0807907,2024/02/23,上市,,RWSCCA
080791　敬鵬元富3B購01,TW24Z0807915,2024/02/23,上市,,RWSCCA
080792　鉅祥元富38購01,TW24Z0807923,2024/02/23,上市,,RWSCCA
080793　創意元富38購02,TW24Z0807931,2024/02/23,上市,,RWSCCA
080794　創意元富38購03,TW24Z0807949,2024/02/23,上市,,RWSCCA
080795　創意元富38購04,TW24Z0807956,2024/02/23,上市,,RWSCCA
080796　創意元富38購05,TW24Z0807964,2024/02/23,上市,,RWSCCA
080797　創意元富3B購01,TW24Z0807972,2024/02/23,上市,,RWSCCA
080798　創意元富3B購02,TW24Z0807980,2024/02/23,上市,,RWSCCA
080799　晶相光元富38購02,TW24Z0807998,2024/02/23,上市,,RWSCCA
08079T　緯創元大3A售18,TW24Z08079T5,2024/04/29,上市,,RWSCPE
080800　上緯控元富38購01,TW24Z0808004,2024/02/23,上市,,RWSCCA
